sequence,component_path,label,current_commandId,eventCalled,captureSource,lastSavedAtUtc,observed_commandId,observed_terminated_commandId,status,methodContext,evidence_line,notes
1,components.workspaceDropdown,DESIGN,SelectWorkspace,,,,,,missing,,,
2,components.workspaceDropdown.options[1],Design,DesignWorkspace,,,,,,missing,,,
3,components.workspaceDropdown.options[2],Generative Design,GenerativeDesignWorkspace,,,,,,missing,,,
4,components.workspaceDropdown.options[3],Render,RenderWorkspace,,,,,,missing,,,
5,components.workspaceDropdown.options[4],Animation,AnimationWorkspace,,,,,,missing,,,
6,components.workspaceDropdown.options[5],Simulation,SimulationWorkspace,,,,,,missing,,,
7,components.workspaceDropdown.options[6],Manufacture,ManufactureWorkspace,,,,,,missing,,,
8,components.workspaceDropdown.options[7],Drawing,DrawingWorkspace,,,,,,missing,,,
9,components.environmentTabs.solid,SOLID,SolidTab,,,,,,missing,,,
10,components.environmentTabs.surface,SURFACE,SurfaceTab,,,,,,missing,,,
11,components.environmentTabs.mesh,MESH,MeshTab,,,,,,missing,,,
12,components.environmentTabs.sheetMetal,SHEET METAL,SheetMetalTab,,,,,,missing,,,
13,components.toolbarGroups.create.tools[1],New Component,NewComponentCommand,,,,,,missing,,,
14,components.toolbarGroups.create.tools[2],Create Sketch,SketchCreate,SketchCreate,command_started,2026-03-03T11:10:48.557697Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:10:48.557697Z;event=saved;commandId=SketchCreate;source=command_started,saved from latest observed command (manual save fallback)
15,components.toolbarGroups.create.tools[3],Extrude,Extrude,Extrude,command_started,2026-03-03T11:12:28.798320Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:12:28.798320Z;event=saved;commandId=Extrude;source=command_started,saved from latest observed command (manual save fallback)
16,components.toolbarGroups.create.tools[4],Revolve,Revolve,Revolve,command_started,2026-03-03T11:13:08.998598Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:13:08.998598Z;event=saved;commandId=Revolve;source=command_started,saved from latest observed command (manual save fallback)
17,components.toolbarGroups.create.tools[5],Sweep,Sweep,Sweep,command_started,2026-03-03T11:13:42.378974Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:13:42.378974Z;event=saved;commandId=Sweep;source=command_started,saved from latest observed command (manual save fallback)
18,components.toolbarGroups.create.tools[6],Loft,SolidLoft,SolidLoft,command_started,2026-03-03T11:14:20.992359Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:14:20.992359Z;event=saved;commandId=SolidLoft;source=command_started,saved from latest observed command (manual save fallback)
